1,Problem 1,Multiples of 3 and 5,"If we list all the natural numbers below 10 that are multiples of 3 or 5, we get 3, 5, 6 and 9. The sum of these multiples is 23., Find the sum of all the multiples of 3 or 5 below 1000",5,5th October 2001
2,Problem 2,Even Fibonacci numbers,"Each new term in the Fibonacci sequence is generated by adding the previous two terms. By starting with 1 and 2, the first 10 terms will be:, <p style=""text-align:center;"">1, 2, 3, 5, 8, 13, 21, 34, 55, 89, ..., By considering the terms in the Fibonacci sequence whose values do not exceed four million, find the sum of the even-valued terms",5,19th October 2001
3,Problem 3,Largest prime factor,"The prime factors of 13195 are 5, 7, 13 and 29., What is the largest prime factor of the number 600851475143 ",5,2nd November 2001
4,Problem 4,Largest palindrome product,"A palindromic number reads the same both ways. The largest palindrome made from the product of two 2-digit numbers is 9009 = 91 \xd7 99., Find the largest palindrome made from the product of two 3-digit numbers",5,16th November 2001
5,Problem 5,Smallest multiple,"2520 is the smallest number that can be divided by each of the numbers from 1 to 10 without any remainder., What is the smallest positive number that is <dfn title=""divisible with no remainder"">evenly divisible</dfn> by all of the numbers from 1 to 20",5,30th November 2001
6,Problem 6,Sum square difference,"The sum of the squares of the first ten natural numbers is,, The square of the sum of the first ten natural numbers is,, Hence the difference between the sum of the squares of the first ten natural numbers and the square of the sum is 3025 \u2212 385 = 2640., Find the difference between the sum of the squares of the first one hundred natural numbers and the square of the sum",5,14th December 2001
7,Problem 7,10001st prime,"By listing the first six prime numbers: 2, 3, 5, 7, 11, and 13, we can see that the 6th prime is 13., What is the 10 001st prime number",5,28th December 2001
8,Problem 8,Largest product in a series,"The four adjacent digits in the 1000-digit number that have the greatest product are 9 \xd7 9 \xd7 8 \xd7 9 = 5832., <p style=""font-family:'courier new';text-align:center;"">\n73167176531330624919225119674426574742355349194934<br/>\n96983520312774506326239578318016984801869478851843<br/>\n85861560789112949495459501737958331952853208805511<br/>\n12540698747158523863050715693290963295227443043557<br/>\n66896648950445244523161731856403098711121722383113<br/>\n62229893423380308135336276614282806444486645238749<br/>\n30358907296290491560440772390713810515859307960866<br/>\n70172427121883998797908792274921901699720888093776<br/>\n65727333001053367881220235421809751254540594752243<br/>\n52584907711670556013604839586446706324415722155397<br/>\n53697817977846174064955149290862569321978468622482<br/>\n83972241375657056057490261407972968652414535100474<br/>\n82166370484403199890008895243450658541227588666881<br/>\n16427171479924442928230863465674813919123162824586<br/>\n17866458359124566529476545682848912883142607690042<br/>\n24219022671055626321111109370544217506941658960408<br/>\n07198403850962455444362981230987879927244284909188<br/>\n84580156166097919133875499200524063689912560717606<br/>\n05886116467109405077541002256983155200055935729725<br/>\n71636269561882670428252483600823257530420752963450<br/>, Find the thirteen adjacent digits in the 1000-digit number that have the greatest product. What is the value of this product",5,11th January 2002
9,Problem 9,Special Pythagorean triplet,"A Pythagorean triplet is a set of three natural numbers, <var>a</var> &lt; <var>b</var> &lt; <var>c</var>, for which,, For example, 3<sup>2</sup> + 4<sup>2</sup> = 9 + 16 = 25 = 5<sup>2</sup>., There exists exactly one Pythagorean triplet for which <var>a</var> + <var>b</var> + <var>c</var> = 1000.<br/>Find the product <var>abc</var>",5,25th January 2002
10,Problem 10,Summation of primes,"The sum of the primes below 10 is 2 + 3 + 5 + 7 = 17., Find the sum of all the primes below two million",5,8th February 2002
